iter	Passed	Remaining
0	57	57695
1	58	29036
2	58	19440
3	58	14652
4	59	11771
5	59	9855
6	59	8493
7	60	7460
8	60	6656
9	60	6009
10	61	5485
11	61	5045
12	61	4679
13	61	4362
14	62	4088
15	62	3846
16	62	3641
17	63	3456
18	63	3284
19	63	3131
20	64	2991
21	64	2867
22	64	2751
23	65	2648
24	65	2553
25	65	2463
26	66	2379
27	66	2302
28	66	2232
29	66	2165
30	67	2103
31	67	2044
32	67	1987
33	68	1934
34	68	1888
35	68	1840
36	69	1796
37	69	1756
38	69	1716
39	69	1679
40	70	1643
41	70	1610
42	70	1579
43	71	1550
44	71	1521
45	72	1493
46	72	1466
47	72	1439
48	72	1415
49	73	1391
50	73	1368
51	73	1345
52	74	1324
53	74	1303
54	74	1284
55	75	1265
56	75	1246
57	75	1228
58	75	1211
59	76	1194
60	76	1178
61	76	1162
62	77	1148
63	77	1133
64	77	1118
65	78	1104
66	78	1090
67	78	1076
68	78	1064
69	79	1051
70	79	1040
71	79	1030
72	80	1018
73	80	1006
74	80	995
75	81	986
76	81	977
77	81	966
78	82	957
79	82	947
80	82	937
81	82	927
82	82	916
83	83	908
84	83	899
85	83	890
86	84	882
87	84	874
88	84	865
89	84	858
90	85	850
91	85	844
92	85	837
93	86	830
94	86	824
95	86	817
96	87	810
97	87	803
98	87	796
99	87	790
100	88	785
101	88	779
102	88	773
103	89	768
104	89	762
105	89	757
106	90	752
107	90	747
108	90	742
109	91	737
110	91	732
111	91	726
112	91	721
113	92	716
114	92	711
115	92	707
116	93	702
117	93	698
118	93	693
119	94	689
120	94	685
121	94	681
122	94	677
123	95	673
124	95	668
125	95	665
126	96	661
127	96	656
128	96	653
129	97	650
130	97	647
131	97	644
132	98	641
133	98	637
134	98	633
135	99	630
136	99	627
137	99	623
138	100	619
139	100	616
140	100	613
141	100	609
142	101	606
143	101	602
144	101	599
145	101	596
146	102	593
147	102	590
148	102	587
149	103	585
150	103	582
151	104	580
152	104	577
153	104	574
154	104	571
155	105	569
156	105	566
157	105	563
158	105	560
159	106	557
160	106	554
161	106	552
162	107	549
163	107	547
164	107	545
165	107	542
166	108	539
167	108	537
168	108	535
169	109	532
170	109	530
171	109	527
172	109	525
173	110	523
174	110	521
175	110	519
176	111	517
177	111	515
178	111	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	503
184	113	500
185	114	499
186	114	497
187	114	495
188	114	493
189	115	491
190	115	490
191	115	488
192	116	486
193	116	484
194	116	482
195	117	480
196	117	479
197	117	477
198	118	475
199	118	474
200	118	472
201	119	470
202	119	468
203	119	467
204	120	465
205	120	464
206	120	462
207	121	460
208	121	459
209	121	458
210	122	456
211	122	455
212	122	454
213	123	452
214	123	451
215	123	450
216	124	448
217	124	447
218	124	445
219	125	444
220	125	442
221	125	441
222	126	440
223	126	438
224	126	437
225	127	435
226	127	434
227	127	433
228	128	431
229	128	429
230	128	428
231	128	426
232	129	425
233	129	424
234	129	422
235	130	421
236	130	419
237	130	418
238	131	417
239	131	416
240	131	415
241	132	413
242	132	412
243	132	411
244	133	410
245	133	409
246	133	408
247	134	406
248	134	405
249	134	404
250	135	402
251	135	401
252	135	400
253	136	399
254	136	398
255	136	397
256	136	396
257	137	394
258	137	393
259	137	392
260	138	390
261	138	389
262	138	388
263	138	387
264	139	386
265	139	385
266	139	384
267	140	382
268	140	381
269	140	380
270	141	379
271	141	378
272	141	377
273	141	376
274	142	375
275	142	374
276	142	372
277	143	371
278	143	371
279	143	370
280	144	369
281	144	367
282	144	366
283	145	365
284	145	364
285	145	363
286	145	362
287	146	361
288	146	360
289	146	359
290	147	358
291	147	357
292	147	356
293	148	355
294	148	354
295	148	354
296	149	353
297	149	352
298	149	351
299	150	350
300	150	349
301	150	348
302	151	347
303	151	346
304	151	345
305	151	344
306	152	343
307	152	342
308	152	341
309	153	340
310	153	340
311	153	339
312	154	338
313	154	337
314	154	336
315	155	335
316	155	334
317	155	334
318	156	333
319	156	332
320	156	331
321	156	330
322	157	329
323	157	328
324	157	327
325	158	327
326	158	326
327	158	325
328	158	324
329	159	323
330	159	322
331	159	321
332	160	320
333	160	320
334	160	319
335	161	318
336	161	317
337	161	316
338	162	315
339	162	315
340	162	314
341	163	313
342	163	313
343	163	312
344	163	311
345	164	310
346	164	309
347	164	308
348	165	308
349	165	307
350	165	306
351	166	306
352	166	305
353	166	304
354	167	303
355	167	302
356	167	302
357	168	301
358	168	300
359	168	299
360	168	299
361	169	298
362	169	297
363	169	297
364	170	296
365	170	295
366	170	294
367	171	293
368	171	293
369	171	292
370	171	291
371	172	290
372	172	290
373	172	289
374	173	288
375	173	287
376	173	287
377	174	286
378	174	285
379	174	284
380	174	284
381	175	283
382	175	282
383	175	282
384	176	281
385	176	280
386	176	280
387	177	279
388	177	278
389	177	278
390	178	277
391	178	276
392	178	276
393	179	275
394	179	275
395	179	274
396	180	273
397	180	272
398	180	272
399	180	271
400	181	270
401	181	269
402	181	269
403	182	268
404	182	267
405	182	266
406	182	266
407	182	265
408	183	264
409	183	263
410	183	263
411	183	262
412	184	261
413	184	261
414	184	260
415	184	259
416	185	258
417	185	258
418	185	257
419	185	256
420	186	255
421	186	255
422	186	254
423	186	253
424	187	253
425	187	252
426	187	252
427	188	251
428	188	250
429	188	250
430	188	249
431	189	248
432	189	248
433	189	247
434	189	246
435	190	246
436	190	245
437	190	244
438	190	244
439	191	243
440	191	242
441	191	241
442	191	241
443	192	240
444	192	240
445	192	239
446	193	238
447	193	238
448	193	237
449	193	236
450	193	236
451	194	235
452	194	234
453	194	234
454	194	233
455	195	232
456	195	232
457	195	231
458	195	230
459	196	230
460	196	229
461	196	229
462	196	228
463	197	227
464	197	227
465	197	226
466	197	225
467	198	225
468	198	224
469	198	223
470	198	223
471	199	222
472	199	222
473	199	221
474	199	220
475	200	220
476	200	219
477	200	218
478	200	218
479	200	217
480	201	217
481	201	216
482	201	215
483	201	215
484	202	214
485	202	214
486	202	213
487	202	212
488	203	212
489	203	211
490	203	211
491	203	210
492	204	209
493	204	209
494	204	208
495	204	208
496	205	207
497	205	206
498	205	206
499	205	205
500	205	205
501	206	204
502	206	204
503	206	203
504	206	202
505	207	202
506	207	201
507	207	201
508	207	200
509	208	199
510	208	199
511	208	198
512	208	198
513	209	197
514	209	197
515	209	196
516	210	196
